celltype	histone	ymin	lower	middle	upper	ymax
Epi	H3K27me3	0.000198356221988382	0.004811895004451	0.0115447202199108	0.0250073021322226	0.082847295864263
Epi	H3K4me3	0.000352782954353158	0.00375641080012983	0.0159638323414472	0.0419687734078553	0.10314169606205
Epi	H3K9me3	0.00407884571929221	0.0092160988837978	0.0160654232308649	0.0198220923958249	0.0208007571925364
PaE	H3K27me3	7.47193157695221e-05	0.0027651789700413	0.00915606487821395	0.0284899073422725	0.0580200465707574
PaE	H3K4me3	0.000385891929961695	0.0138697767175112	0.0170685164386882	0.0319496849563426	0.0572593185067485
PaE	H3K9me3	0.000679427169517962	0.0161900096744851	0.0289986094105863	0.0755699339832136	0.104436544757085
VE	H3K27me3	0.00109094035130898	0.00618251847618912	0.0187699875197043	0.0392401566574155	0.104676966880208
VE	H3K4me3	7.61400265340378e-05	0.00225158145020048	0.0105848673237228	0.0426655398249871	0.0978730301764874
VE	H3K9me3	0.000418565769323047	0.00823609290895199	0.0219249229705224	0.0397014710290321	0.0777776775810917
ExE	H3K27me3	0.000297563042003642	0.00531111050837795	0.0227348256740374	0.0278001439370688	0.0863279159245786
ExE	H3K4me3	0.00378521057664336	0.00528258841283688	0.0154466459523852	0.0274971410705972	0.093011850555323
ExE	H3K9me3	0.00447333356395853	0.018039616484507	0.0256988476303695	0.0356875725974334	0.0562423369815863
