peak_id	chromosome	start	end	annotated_element
1	chr1	16067	19448	LINE
2	chr1	111841	113141	LINE
3	chr1	131502	137362	SINE
4	chr1	182030	192505	LINE
5	chr1	263174	270529	LINE
6	chr1	507715	509637	LTR
7	chr1	590394	600692	LINE
8	chr1	615654	638977	LINE
9	chr1	641400	646051	LINE
10	chr1	664335	665086	LINE
11	chr1	667138	669418	LINE
12	chr1	673096	673522	LINE
13	chr1	676360	677058	LINE
14	chr1	780449	795916	LINE
15	chr1	798559	801225	LINE
16	chr1	858415	858564	unrepeat
17	chr1	861706	861856	Simple_repeat
18	chr1	876036	877051	unrepeat
19	chr1	1091795	1093248	SINE
20	chr1	1095294	1104179	LINE
21	chr1	1106543	1115561	LINE
22	chr1	1151104	1152288	LINE
23	chr1	1192362	1192512	unrepeat
24	chr1	1195140	1196872	LINE
25	chr1	1265201	1265350	unrepeat
26	chr1	1412093	1417091	LTR
27	chr1	1493519	1494848	LINE
28	chr1	1526600	1529271	SINE
29	chr1	1563457	1565431	SINE
30	chr1	1597222	1597371	unrepeat
31	chr1	1767762	1769348	LTR
32	chr1	1875397	1875796	SINE
33	chr1	1923687	1925054	unrepeat
34	chr1	1933972	1940085	LINE
35	chr1	1942469	1943638	unrepeat
36	chr1	1948953	1949977	SINE
37	chr1	1952157	1960562	LINE
38	chr1	1974890	1976817	LINE
39	chr1	1979003	1979783	unrepeat
40	chr1	2052551	2091729	LINE
41	chr1	2095507	2108114	LINE
42	chr1	2110751	2131419	LINE
43	chr1	2151485	2153638	LINE
44	chr1	2156294	2161526	LINE
45	chr1	2163855	2167603	LINE
46	chr1	2173282	2173431	unrepeat
47	chr1	2247976	2255668	LINE
48	chr1	2258329	2258478	unrepeat
49	chr1	2266611	2266760	unrepeat
50	chr1	2269924	2270963	unrepeat
51	chr1	2273739	2280766	LTR
52	chr1	2282795	2283028	unrepeat
53	chr1	2363651	2364450	LINE
54	chr1	2367840	2369088	LINE
55	chr1	2372503	2375490	unrepeat
56	chr1	2377855	2378440	unrepeat
57	chr1	2423205	2435699	LINE
58	chr1	2487083	2492087	SINE
59	chr1	2567332	2567762	unrepeat
60	chr1	2575711	2576093	Simple_repeat
61	chr1	2598496	2600265	LINE
62	chr1	2611472	2625396	LINE
63	chr1	2630164	2665408	LINE
64	chr1	2667522	2699851	unrepeat
65	chr1	2746347	2790382	LINE
66	chr1	2793761	2802113	LINE
67	chr1	2804708	2807591	LTR
68	chr1	2809786	2845118	LINE
69	chr1	2847803	2849775	LINE
70	chr1	2851947	2860149	LINE
71	chr1	2862253	2878946	LINE
72	chr1	2881443	2946250	LINE
73	chr1	2949929	3016888	LINE
74	chr1	3018894	3019958	unrepeat
75	chr1	3022814	3036970	LINE
76	chr1	3039851	3040560	LINE
77	chr1	3045015	3045839	LINE
78	chr1	3050781	3060335	LINE
79	chr1	3079549	3079764	unrepeat
80	chr1	3093808	3112180	LINE
81	chr1	3114315	3116584	Simple_repeat
82	chr1	3123002	3124113	unrepeat
83	chr1	3131632	3131878	Simple_repeat
84	chr1	3139865	3153837	SINE
85	chr1	3156613	3157132	unrepeat
86	chr1	3159743	3160297	OthersRepeat
87	chr1	3162833	3164785	LTR
88	chr1	3168270	3187028	LINE
89	chr1	3192617	3202831	SINE
90	chr1	3204991	3206136	unrepeat
91	chr1	3209683	3212957	Simple_repeat
92	chr1	3215608	3216585	unrepeat
93	chr1	3219943	3231911	SINE
94	chr1	3234574	3236010	unrepeat
95	chr1	3239313	3239502	unrepeat
96	chr1	3241577	3244446	LINE
97	chr1	3252036	3270424	LINE
98	chr1	3272993	3273907	Simple_repeat
99	chr1	3276810	3279607	Simple_repeat
100	chr1	3289769	3305108	LINE
101	chr1	3312520	3313394	Simple_repeat
102	chr1	3316467	3330684	LTR
103	chr1	3332830	3333997	LTR
104	chr1	3336230	3350910	LINE
105	chr1	3356725	3358072	OthersRepeat
106	chr1	3361179	3361382	unrepeat
107	chr1	3375137	3376900	Simple_repeat
108	chr1	3379946	3381674	LINE
109	chr1	3387538	3387687	unrepeat
110	chr1	3389771	3393485	SINE
111	chr1	3396640	3396835	unrepeat
112	chr1	3400308	3401548	unrepeat
113	chr1	3408361	3410256	Simple_repeat
114	chr1	3416912	3419248	unrepeat
115	chr1	3437910	3440618	Simple_repeat
116	chr1	3444191	3446773	LINE
117	chr1	3460731	3461805	SINE
118	chr1	3470295	3472907	OthersRepeat
119	chr1	3510452	3512861	LTR
120	chr1	3538156	3540913	LINE
121	chr1	3555677	3559457	LTR
122	chr1	3566544	3568427	SINE
123	chr1	3573097	3574922	SINE
124	chr1	3576983	3589453	LINE
125	chr1	3604358	3605598	Simple_repeat
126	chr1	3618292	3618495	unrepeat
127	chr1	3621182	3621331	LTR
128	chr1	3765981	3766958	LINE
129	chr1	3799793	3802347	LTR
130	chr1	3806091	3806539	LTR
131	chr1	3808845	3808995	unrepeat
132	chr1	3820082	3822041	LINE
133	chr1	3862666	3863180	SINE
134	chr1	3865543	3879228	LINE
135	chr1	3882018	3883405	LINE
136	chr1	3892519	3900276	LINE
137	chr1	3907762	3911192	LTR
138	chr1	3913275	3915328	LINE
139	chr1	3917592	3924308	LINE
140	chr1	3926814	3933264	LTR
141	chr1	3940812	3955505	LINE
142	chr1	3967641	3968180	LTR
143	chr1	3970550	3976436	LINE
144	chr1	3991711	3993244	unrepeat
145	chr1	3995494	4002168	LTR
146	chr1	4004929	4008137	LTR
147	chr1	4011128	4012446	SINE
148	chr1	4015774	4020843	LINE
149	chr1	4025528	4038148	LINE
150	chr1	4045702	4046443	LTR
151	chr1	4050510	4050659	unrepeat
152	chr1	4052807	4069172	LINE
153	chr1	4071290	4084469	LINE
