stateseq	C1Epi	C2PaE	C3VE	C4ExE
chr10:5800000-5802000	E5	E6	E4	E7
chr10:5820000-5822000	E7	E4	E5	E1
chr10:22156000-22158000	E5	E6	E7	E4
chr10:22158000-22160000	E5	E4	E7	E6
chr10:40564000-40566000	E6	E1	E7	E4
chr10:45468000-45470000	E7	E4	E1	E3
chr10:45470000-45472000	E7	E4	E1	E3
chr10:61988000-61990000	E7	E4	E5	E6
chr10:62522000-62524000	E4	E6	E5	E7
chr10:75776000-75778000	E6	E4	E5	E7
chr10:78196000-78198000	E7	E4	E5	E6
chr10:78198000-78200000	E7	E4	E5	E6
chr10:78200000-78202000	E7	E4	E5	E6
chr10:78202000-78204000	E7	E4	E5	E6
chr10:78374000-78376000	E5	E1	E7	E6
chr10:78458000-78460000	E5	E7	E4	E6
chr10:78464000-78466000	E5	E6	E2	E7
chr10:79532000-79534000	E6	E7	E4	E5
chr10:79548000-79550000	E6	E4	E5	E7
chr10:80498000-80500000	E5	E6	E4	E7
chr10:80500000-80502000	E5	E6	E2	E7
chr10:80502000-80504000	E5	E4	E2	E7
chr10:80504000-80506000	E5	E4	E2	E7
chr10:80528000-80530000	E4	E6	E5	E7
chr10:80530000-80532000	E4	E6	E5	E7
chr10:80532000-80534000	E4	E6	E5	E7
chr10:80534000-80536000	E4	E6	E5	E7
chr10:80536000-80538000	E4	E6	E5	E7
chr10:80538000-80540000	E4	E6	E5	E7
chr10:80598000-80600000	E6	E4	E5	E7
chr10:80600000-80602000	E6	E4	E5	E7
chr10:81206000-81208000	E7	E6	E5	E4
chr10:81244000-81246000	E7	E4	E6	E5
chr10:81306000-81308000	E6	E4	E5	E7
chr10:81308000-81310000	E6	E4	E5	E7
chr10:81310000-81312000	E6	E4	E5	E7
chr10:81312000-81314000	E6	E4	E5	E7
chr10:81462000-81464000	E7	E6	E4	E5
chr10:81464000-81466000	E5	E6	E4	E7
chr10:81478000-81480000	E6	E4	E5	E7
chr10:81588000-81590000	E7	E4	E5	E6
chr10:83410000-83412000	E1	E4	E6	E2
chr10:83438000-83440000	E1	E6	E5	E4
chr10:118090000-118092000	E1	E7	E4	E3
chr10:120602000-120604000	E6	E7	E5	E4
chr10:122904000-122906000	E3	E1	E4	E2
chr10:127008000-127010000	E4	E6	E5	E7
chr10:127182000-127184000	E6	E4	E5	E7
chr10:127542000-127544000	E6	E5	E4	E7
chr10:128642000-128644000	E7	E4	E5	E6
chr10:128646000-128648000	E7	E4	E5	E2
chr11:5506000-5508000	E1	E4	E7	E6
chr11:20224000-20226000	E6	E1	E4	E7
chr11:20226000-20228000	E6	E1	E4	E7
chr11:20234000-20236000	E7	E1	E4	E6
