bin_pos	Sum_Signal	repeat_percentage
chr1-1090000-1095000	24	0.3866
chr1-1095000-1100000	34	0.5458
chr1-1105000-1110000	14	0.2864
chr1-1110000-1115000	23	0.2284
chr1-1485000-1490000	19	0.2704
chr1-1670000-1675000	1	0.0106
chr1-1675000-1680000	2	0.1224
chr1-2630000-2635000	11	0.1672
chr1-2635000-2640000	19	0.3814
chr1-2645000-2650000	53	0.5138
chr1-2780000-2785000	24	0.5398
chr1-2825000-2830000	3	0.0522
chr1-2845000-2850000	1	0.0188
chr1-3620000-3625000	10	0.1992
chr1-4275000-4280000	10	0.214
chr1-4355000-4360000	5	0.1184
chr1-4370000-4375000	25	0.358
chr1-4375000-4380000	40	0.9016
chr1-4380000-4385000	53	0.61
chr1-4385000-4390000	19	0.2836
chr1-4400000-4405000	23	0.4556
chr1-4630000-4635000	16	0.2736
chr1-4795000-4800000	4	0.1442
chr1-4800000-4805000	12	0.2986
chr1-4805000-4810000	37	0.6868
chr1-4850000-4855000	10	0.2464
chr1-4855000-4860000	16	0.2428
chr1-4865000-4870000	9	0.0852
chr1-4870000-4875000	18	0.287
chr1-4875000-4880000	42	0.656
chr1-4880000-4885000	64	0.9032
chr1-4885000-4890000	43	0.597
chr1-4895000-4900000	35	0.4302
chr1-4900000-4905000	48	0.7512
chr1-4910000-4915000	15	0.249
chr1-4955000-4960000	36	0.4884
chr1-4960000-4965000	10	0.123
chr1-4975000-4980000	5	0.0692
chr1-4980000-4985000	5	0.073
chr1-4995000-5000000	33	0.452
chr1-5000000-5005000	25	0.4082
chr1-5005000-5010000	31	0.3082
chr1-5020000-5025000	17	0.3412
chr1-5025000-5030000	5	0.0632
chr1-5030000-5035000	54	0.6704
chr1-5035000-5040000	19	0.4344
chr1-5045000-5050000	46	0.9296
chr1-5050000-5055000	126	1
chr1-5055000-5060000	24	0.369
chr1-5085000-5090000	28	0.2876
chr1-5105000-5110000	17	0.3206
chr1-5110000-5115000	35	0.6968
chr1-5140000-5145000	2	0.0284
chr1-5145000-5150000	42	0.658
chr1-5150000-5155000	37	0.3492
chr1-5155000-5160000	15	0.2916
chr1-5160000-5165000	68	0.6936
chr1-5165000-5170000	43	0.458
chr1-5170000-5175000	12	0.1962
chr1-5185000-5190000	2	0.0562
chr1-5190000-5195000	40	0.558
chr1-5195000-5200000	66	0.9592
chr1-5200000-5205000	23	0.3254
chr1-5220000-5225000	18	0.2228
chr1-5230000-5235000	23	0.3918
chr1-5235000-5240000	38	0.6182
chr1-5240000-5245000	11	0.1718
chr1-5260000-5265000	53	0.5334
chr1-5265000-5270000	16	0.3838
chr1-5270000-5275000	11	0.2018
chr1-5275000-5280000	8	0.1012
chr1-5280000-5285000	39	0.5862
chr1-5285000-5290000	90	1
chr1-5295000-5300000	2	0.0562
chr1-5325000-5330000	25	0.2704
chr1-5330000-5335000	7	0.105
chr1-5335000-5340000	10	0.1302
chr1-5340000-5345000	22	0.262
chr1-5345000-5350000	13	0.17
chr1-5350000-5355000	15	0.3076
chr1-5360000-5365000	26	0.3296
chr1-5365000-5370000	31	0.5898
chr1-5375000-5380000	14	0.246
