bin_pos	Sum_Signal	repeat_percentage
chr1-3650000-3655000	8	0.047
chr1-3670000-3675000	14	0.019
chr1-4945000-4950000	14	0.1264
chr1-5340000-5345000	5	0.0266
chr1-9650000-9655000	7	0.0266
chr1-12050000-12055000	15	0.0568
chr1-12435000-12440000	31	0.1288
chr1-13700000-13705000	6	0.0364
chr1-19480000-19485000	7	0.0384
chr1-21790000-21795000	13	0.107
chr1-22050000-22055000	12	0.0828
chr1-23910000-23915000	7	0.0432
chr1-25030000-25035000	14	0.1058
chr1-27625000-27630000	4	0.0142
chr1-27630000-27635000	8	0.0416
chr1-27655000-27660000	11	0.0242
chr1-28120000-28125000	14	0.074
chr1-28505000-28510000	10	0.0594
chr1-30745000-30750000	17	0.0486
chr1-30755000-30760000	48	0.184
chr1-31460000-31465000	60	1
chr1-31475000-31480000	38	0.6662
chr1-31480000-31485000	24	0.2298
chr1-31545000-31550000	10	0.0728
chr1-33495000-33500000	9	0.0512
chr1-40035000-40040000	4	0.0426
chr1-48865000-48870000	8	0.031
chr1-48875000-48880000	12	0.0322
chr1-48990000-48995000	26	0.69
chr1-49185000-49190000	13	0.0498
chr1-49575000-49580000	82	0.9564
chr1-49610000-49615000	30	0.1244
chr1-49630000-49635000	10	0.0528
chr1-49730000-49735000	16	0.1716
chr1-49840000-49845000	16	0.0584
chr1-50000000-50005000	9	0.2276
chr1-50005000-50010000	11	0.2114
chr1-50345000-50350000	9	0.0706
chr1-54885000-54890000	5	0.0362
chr1-56105000-56110000	38	0.5678
chr1-56220000-56225000	22	0.1124
chr1-56330000-56335000	46	0.2728
chr1-56430000-56435000	17	0.1378
chr1-56490000-56495000	5	0.0232
chr1-56530000-56535000	5	0.037
chr1-56565000-56570000	14	0.0624
chr1-57125000-57130000	6	0.0102
chr1-57135000-57140000	16	0.1218
chr1-57705000-57710000	13	0.265
chr1-58075000-58080000	16	0.0926
chr1-58100000-58105000	12	0.0938
chr1-58105000-58110000	28	0.112
chr1-58570000-58575000	20	0.072
chr1-58575000-58580000	11	0.0224
chr1-58810000-58815000	7	0.0398
chr1-58815000-58820000	5	0.034
chr1-58900000-58905000	10	0.0404
chr1-59005000-59010000	8	0.0322
chr1-59010000-59015000	9	0.0492
chr1-59015000-59020000	9	0.0202
chr1-59045000-59050000	12	0.0456
chr1-59145000-59150000	12	0.0484
chr1-59360000-59365000	9	0.0426
chr1-59430000-59435000	8	0.0672
chr1-59435000-59440000	8	0.0372
chr1-59475000-59480000	14	0.2486
chr1-59635000-59640000	22	0.1094
chr1-60545000-60550000	13	0.0494
chr1-60690000-60695000	24	0.3064
chr1-63105000-63110000	9	0.0492
chr1-63620000-63625000	11	0.0532
chr1-64170000-64175000	15	0.0686
chr1-64960000-64965000	21	0.0792
chr1-65215000-65220000	9	0.0648
chr1-65420000-65425000	60	0.1152
chr1-65475000-65480000	8	0.0606
chr1-65685000-65690000	10	0.045
chr1-65695000-65700000	13	0.0856
chr1-65815000-65820000	32	0.0966
chr1-65880000-65885000	15	0.0774
chr1-65895000-65900000	13	0.082
chr1-65935000-65940000	5	0.0102
chr1-65945000-65950000	18	0.1996
