peak_id	chromosome	start	end	annotated_element
1	chr1	1094659	1095120	LINE
2	chr1	1095924	1096417	SINE
3	chr1	1108227	1108676	unrepeat
4	chr1	1112264	1113124	LTR
5	chr1	1481868	1482855	unrepeat
6	chr1	1484695	1485247	unrepeat
7	chr1	1675878	1676425	unrepeat
8	chr1	1679118	1679866	SINE
9	chr1	2121537	2122324	unrepeat
10	chr1	2554406	2554855	LINE
11	chr1	2611309	2611758	unrepeat
12	chr1	2616936	2617618	SINE
13	chr1	2634378	2635045	unrepeat
14	chr1	2645750	2646384	LINE
15	chr1	2646693	2647281	LINE
16	chr1	2647405	2661515	LINE
17	chr1	2661614	2662873	unrepeat
18	chr1	2662972	2663751	unrepeat
19	chr1	2664145	2664767	unrepeat
20	chr1	2669561	2670254	unrepeat
21	chr1	2671990	2672728	unrepeat
22	chr1	2673210	2674101	unrepeat
23	chr1	2675278	2675903	unrepeat
24	chr1	2677891	2695020	unrepeat
25	chr1	2695621	2697015	unrepeat
26	chr1	2697334	2698519	unrepeat
27	chr1	2746904	2748374	unrepeat
28	chr1	2748924	2750258	unrepeat
29	chr1	2750309	2754065	unrepeat
30	chr1	2754474	2760340	unrepeat
31	chr1	2760353	2761637	unrepeat
32	chr1	2762674	2763148	unrepeat
33	chr1	2763275	2764345	unrepeat
34	chr1	2765641	2766100	unrepeat
35	chr1	2766218	2767997	unrepeat
36	chr1	2768600	2770913	unrepeat
37	chr1	2771915	2773255	unrepeat
38	chr1	2774844	2775690	unrepeat
39	chr1	2784017	2784564	LTR
40	chr1	2793911	2794360	LINE
41	chr1	2825411	2825860	unrepeat
42	chr1	3621181	3621630	LTR
43	chr1	3879360	3879924	LINE
44	chr1	4231710	4232281	LINE
45	chr1	4234949	4235474	LTR
46	chr1	4275567	4276219	unrepeat
47	chr1	4304677	4305126	unrepeat
48	chr1	4350410	4350859	LINE
49	chr1	4371014	4371569	LINE
50	chr1	4372559	4373008	Simple_repeat
51	chr1	4373746	4374269	LINE
52	chr1	4375295	4375767	unrepeat
53	chr1	4378887	4379487	Simple_repeat
54	chr1	4379976	4380445	SINE
55	chr1	4381818	4382349	LTR
56	chr1	4383854	4384387	LTR
57	chr1	4390962	4391542	unrepeat
58	chr1	4397939	4398388	LINE
59	chr1	4403199	4403648	LINE
60	chr1	4419704	4420367	LTR
61	chr1	4633066	4633713	Simple_repeat
62	chr1	4801450	4802188	unrepeat
63	chr1	4806123	4806621	LINE
64	chr1	4828107	4828595	LTR
65	chr1	4851576	4852089	unrepeat
66	chr1	4853952	4854401	unrepeat
67	chr1	4856456	4857114	unrepeat
68	chr1	4865734	4866191	LINE
69	chr1	4869343	4870041	SINE
70	chr1	4870902	4872029	Simple_repeat
71	chr1	4873521	4874296	unrepeat
72	chr1	4874413	4874863	LTR
73	chr1	4875004	4875470	LINE
74	chr1	4876245	4876753	Simple_repeat
75	chr1	4879128	4879577	Simple_repeat
76	chr1	4884559	4885577	LINE
77	chr1	4889585	4890193	LINE
78	chr1	4892592	4893290	SINE
79	chr1	4893634	4894639	LINE
80	chr1	4894703	4895209	unrepeat
81	chr1	4896115	4896674	LTR
82	chr1	4897092	4897746	unrepeat
83	chr1	4899938	4900489	unrepeat
84	chr1	4901430	4901879	LTR
85	chr1	4902093	4902681	LTR
86	chr1	4909468	4909942	SINE
87	chr1	4911953	4912518	SINE
88	chr1	4914277	4914987	Simple_repeat
89	chr1	4921305	4921754	Simple_repeat
90	chr1	4925886	4926348	unrepeat
91	chr1	4929085	4929534	unrepeat
92	chr1	4936245	4936694	unrepeat
93	chr1	4939042	4939800	unrepeat
94	chr1	4941159	4941608	SINE
95	chr1	4942434	4942948	unrepeat
96	chr1	4944267	4944748	SINE
97	chr1	4946270	4946719	Simple_repeat
98	chr1	4948328	4948777	unrepeat
99	chr1	4951789	4952238	OthersRepeat
100	chr1	4955625	4956345	SINE
101	chr1	4959669	4960355	LTR
102	chr1	4961729	4962622	SINE
103	chr1	4969774	4970297	unrepeat
104	chr1	4973062	4973560	unrepeat
105	chr1	4974300	4974792	SINE
106	chr1	4983664	4984128	LTR
107	chr1	4985259	4985877	unrepeat
108	chr1	4994828	4995277	unrepeat
109	chr1	4995345	4995892	unrepeat
110	chr1	4997816	4998274	unrepeat
111	chr1	4999335	4999863	unrepeat
112	chr1	5000381	5001109	unrepeat
113	chr1	5001480	5002122	LINE
114	chr1	5005263	5005800	unrepeat
115	chr1	5027479	5027928	unrepeat
116	chr1	5034456	5034910	LTR
117	chr1	5035480	5036119	unrepeat
118	chr1	5049611	5050156	LTR
119	chr1	5053642	5054342	LINE
120	chr1	5056114	5056619	LINE
121	chr1	5085679	5086165	LTR
122	chr1	5089034	5089500	LINE
123	chr1	5095867	5096553	LINE
124	chr1	5103086	5103780	LINE
125	chr1	5111649	5112517	SINE
126	chr1	5116363	5116812	LTR
127	chr1	5122493	5122942	OthersRepeat
128	chr1	5124406	5124855	LINE
129	chr1	5127375	5128123	unrepeat
130	chr1	5138577	5139026	unrepeat
131	chr1	5142895	5143437	unrepeat
132	chr1	5148881	5149330	LINE
133	chr1	5153047	5154480	LTR
134	chr1	5156578	5157027	OthersRepeat
135	chr1	5157075	5158249	unrepeat
136	chr1	5158401	5159084	LTR
137	chr1	5159821	5160561	LTR
138	chr1	5161137	5161635	Simple_repeat
139	chr1	5162780	5163262	SINE
140	chr1	5164132	5164774	LTR
141	chr1	5165143	5165785	LTR
142	chr1	5166694	5167143	LTR
143	chr1	5167544	5168097	unrepeat
144	chr1	5168135	5168740	SINE
145	chr1	5171746	5172326	unrepeat
146	chr1	5184782	5185372	SINE
147	chr1	5189785	5190399	Simple_repeat
148	chr1	5193994	5194634	LINE
149	chr1	5194940	5196052	SINE
150	chr1	5197047	5197755	LTR
151	chr1	5197766	5198708	OthersRepeat
152	chr1	5199698	5200457	LTR
153	chr1	5201512	5202394	unrepeat
154	chr1	5202842	5203531	LTR
155	chr1	5204419	5204868	SINE
156	chr1	5206752	5207387	unrepeat
157	chr1	5220862	5221419	unrepeat
158	chr1	5234987	5235446	OthersRepeat
159	chr1	5238525	5238985	LINE
160	chr1	5240091	5240568	unrepeat
161	chr1	5241023	5241472	unrepeat
162	chr1	5241730	5242212	unrepeat
163	chr1	5244273	5244759	unrepeat
164	chr1	5244994	5245796	unrepeat
165	chr1	5246235	5246816	Simple_repeat
166	chr1	5248999	5249554	LINE
167	chr1	5260347	5261072	LINE
