bin_pos	Sum_Signal	repeat_percentage
chr1-180000-185000	11	0.182
chr1-1090000-1095000	17	0.0636
chr1-1100000-1105000	18	0.0602
chr1-1105000-1110000	237	1
chr1-1110000-1115000	500	1
chr1-1115000-1120000	3	0.0066
chr1-1175000-1180000	5	0.0222
chr1-1190000-1195000	30	0.1666
chr1-1195000-1200000	9	0.0582
chr1-1325000-1330000	35	0.1034
chr1-1330000-1335000	33	0.0566
chr1-1360000-1365000	22	0.0774
chr1-1365000-1370000	22	0.0516
chr1-1380000-1385000	8	0.0398
chr1-1410000-1415000	364	1
chr1-1460000-1465000	6	0.0602
chr1-1465000-1470000	17	0.0868
chr1-1490000-1495000	192	1
chr1-1505000-1510000	21	0.2498
chr1-1530000-1535000	312	1
chr1-1590000-1595000	15	0.0748
chr1-1645000-1650000	72	0.4604
chr1-1685000-1690000	18	0.066
chr1-1765000-1770000	58	0.2676
chr1-1770000-1775000	324	1
chr1-1900000-1905000	21	0.08
chr1-1930000-1935000	18	0.0392
chr1-1970000-1975000	9	0.0326
chr1-1975000-1980000	28	0.1258
chr1-2075000-2080000	136	0.5688
chr1-2160000-2165000	37	0.1286
chr1-2165000-2170000	8	0.0388
chr1-2255000-2260000	11	0.0164
chr1-2275000-2280000	7	0.0272
chr1-2570000-2575000	138	0.4916
chr1-2630000-2635000	79	0.1672
chr1-2895000-2900000	114	0.382
chr1-2915000-2920000	54	0.1566
chr1-2990000-2995000	24	0.0886
chr1-3180000-3185000	15	0.0238
chr1-3340000-3345000	76	0.3788
chr1-3485000-3490000	9	0.0596
chr1-3585000-3590000	6	0.0052
chr1-3690000-3695000	8	0.0392
chr1-3865000-3870000	9	0.0342
chr1-3875000-3880000	46	0.187
chr1-3915000-3920000	8	0.071
chr1-3925000-3930000	28	0.1708
chr1-3935000-3940000	20	0.0992
chr1-4065000-4070000	103	0.5238
chr1-4135000-4140000	66	0.2376
chr1-4390000-4395000	38	0.4474
