peak_id	chromosome	start	end	annotated_element
1	chr1	100003902	100004057	LINE
2	chr1	100004243	100004615	SINE
3	chr1	100005110	100005273	LINE
4	chr1	100005890	100006025	LINE
5	chr1	100044018	100044356	LINE
6	chr1	100044675	100044948	unrepeat
7	chr1	100205338	100205483	LINE
8	chr1	100205798	100206027	LINE
9	chr1	100315590	100315886	LTR
10	chr1	100315983	100316556	SINE
11	chr1	100552280	100552479	LINE
12	chr1	100556816	100557074	LINE
13	chr1	100888814	100889094	unrepeat
14	chr1	100889131	100890067	LTR
15	chr1	100890202	100890663	LTR
16	chr1	100891383	100891611	LTR
17	chr1	1009052	1009203	LTR
18	chr1	100947521	100947656	LINE
19	chr1	100948442	100948666	LINE
20	chr1	101032735	101032913	LINE
21	chr1	101038904	101039166	LINE
22	chr1	101039214	101039473	OthersRepeat
23	chr1	101039688	101040569	LTR
24	chr1	101040641	101041015	LTR
25	chr1	101041343	101041673	unrepeat
26	chr1	101080922	101081239	unrepeat
27	chr1	101271518	101271676	SINE
28	chr1	101311220	101311447	unrepeat
29	chr1	101331072	101331287	LTR
30	chr1	101359917	101360070	LTR
31	chr1	101362447	101362593	LTR
32	chr1	101362904	101363391	LTR
33	chr1	101363560	101363868	unrepeat
34	chr1	101373560	101373856	LTR
35	chr1	101376043	101376255	unrepeat
36	chr1	101377459	101377596	unrepeat
37	chr1	101377728	101377943	SINE
38	chr1	101378117	101378464	LTR
39	chr1	101378563	101379553	LTR
40	chr1	101382957	101383383	LINE
41	chr1	101383916	101384259	unrepeat
42	chr1	101384305	101384466	unrepeat
43	chr1	101384900	101385049	SINE
44	chr1	101385243	101385381	unrepeat
45	chr1	101385487	101386795	LTR
46	chr1	101386994	101387186	LTR
47	chr1	101387411	101387603	LTR
48	chr1	101390139	101390304	unrepeat
49	chr1	101391144	101391300	unrepeat
50	chr1	101392080	101392321	unrepeat
51	chr1	101400316	101400579	LINE
52	chr1	101400720	101400855	unrepeat
53	chr1	101404866	101405183	LTR
54	chr1	101405597	101405884	unrepeat
55	chr1	101406202	101406497	unrepeat
56	chr1	101412771	101413196	LINE
57	chr1	101419132	101419393	SINE
58	chr1	101419863	101419999	LTR
59	chr1	101423567	101423908	LINE
60	chr1	101423987	101424438	LINE
61	chr1	101425655	101425832	unrepeat
62	chr1	101428607	101428940	unrepeat
63	chr1	101430125	101430383	unrepeat
64	chr1	101433201	101433347	LINE
65	chr1	101434067	101434255	unrepeat
66	chr1	101450912	101451323	LINE
67	chr1	101452170	101452405	LTR
68	chr1	101452450	101452823	LTR
69	chr1	101452939	101453108	LTR
70	chr1	101471412	101471565	unrepeat
71	chr1	101472495	101472936	LTR
72	chr1	101490106	101490268	LINE
73	chr1	103569626	103569807	unrepeat
74	chr1	103960304	103960644	LTR
75	chr1	104467872	104468102	LTR
76	chr1	104706482	104706775	LTR
77	chr1	104706818	104707057	unrepeat
78	chr1	10564325	10564492	unrepeat
79	chr1	10577982	10578151	LINE
80	chr1	10578781	10578918	LINE
81	chr1	106998491	106998732	LTR
82	chr1	107510440	107510784	LTR
83	chr1	107877122	107877412	unrepeat
84	chr1	108174128	108174285	LTR
85	chr1	10855526	10855726	LINE
86	chr1	108579779	108580016	SINE
87	chr1	108580604	108581094	OthersRepeat
88	chr1	108785326	108785602	LTR
89	chr1	108785710	108786028	LTR
90	chr1	108786177	108786473	LTR
91	chr1	108791278	108791485	LINE
92	chr1	108791720	108791910	LINE
93	chr1	108792591	108792847	LINE
94	chr1	108993068	108993588	SINE
95	chr1	108993643	108993822	LINE
96	chr1	108993999	108994189	unrepeat
97	chr1	10928747	10928925	unrepeat
98	chr1	10928973	10929275	unrepeat
99	chr1	10931193	10931374	LTR
100	chr1	109405779	109406043	unrepeat
101	chr1	109434179	109434370	LTR
102	chr1	10953671	10954130	unrepeat
103	chr1	109708434	109708583	unrepeat
104	chr1	109780976	109781522	LTR
105	chr1	109815415	109816079	LTR
106	chr1	109937718	109937995	LINE
107	chr1	1100332	1100613	LINE
108	chr1	110788194	110788716	LINE
109	chr1	110788926	110789081	SINE
110	chr1	110864309	110864604	LINE
111	chr1	110865205	110865657	LINE
