subject.id	ncell_pat	nfrags_pat	ncell_mat	nfrags_mat	total_frags	pat_ratio	p_value	fdr	significance	type	chrom	start	end	fc
1	9	9	4	4	13	0.692307692307692	0.266845703125	0.801519101562501	N.S.	none	chr1	1679416	1679567	243
2	1	1	0	0	1	1	1	1	N.S.	none	chr1	3673801	3673951	26
4	21	22	26	28	50	0.44	0.479887661698328	0.986818908182807	N.S.	none	chr1	4207589	4210381	24
5	11	14	9	11	25	0.56	0.690037965774536	1	N.S.	none	chr1	4212726	4213772	22
6	45	53	36	54	107	0.495327102803738	1	1	N.S.	none	chr1	4235756	4240659	18
7	9	11	8	8	19	0.578947368421053	0.647605895996094	1	N.S.	none	chr1	4251321	4252129	20
8	8	11	6	7	18	0.611111111111111	0.480682373046875	0.986818908182807	N.S.	none	chr1	4317527	4318487	21
9	14	14	10	14	28	0.5	1	1	N.S.	none	chr1	4561635	4563569	22
10	13	15	23	26	41	0.365853658536585	0.117275205957413	0.5712884801436	N.S.	none	chr1	4664467	4666453	23
11	30	35	36	39	74	0.472972972972973	0.727547083489473	1	N.S.	none	chr1	5000850	5005555	25
12	1	3	3	3	6	0.5	1	1	N.S.	none	chr1	5037738	5038041	20
13	6	6	7	9	15	0.4	0.60723876953125	1	N.S.	none	chr1	5052119	5053136	22
14	37	49	36	56	105	0.466666666666667	0.558394291165591	1	N.S.	none	chr1	5062970	5067563	22
15	3	3	2	2	5	0.6	1	1	N.S.	none	chr1	5080202	5082838	19
16	12	12	6	6	18	0.666666666666667	0.237884521484375	0.775246267134133	N.S.	none	chr1	5118759	5120306	21
17	6	7	12	15	22	0.318181818181818	0.133800506591797	0.596883956572876	N.S.	none	chr1	5167647	5168439	18
18	5	5	10	11	16	0.3125	0.210113525390625	0.747517167225699	N.S.	none	chr1	5177434	5179574	22
19	6	6	6	6	12	0.5	1	1	N.S.	none	chr1	5186801	5187667	20
20	8	9	8	10	19	0.473684210526316	1	1	N.S.	none	chr1	5202085	5203566	22
21	12	13	11	11	24	0.541666666666667	0.838819742202759	1	N.S.	none	chr1	5206109	5208123	22
22	1	1	1	1	2	0.5	1	1	N.S.	none	chr1	5238518	5240565	23
23	1	1	4	5	6	0.166666666666667	0.21875	0.749275874652192	N.S.	none	chr1	5300919	5301105	37
24	20	23	17	18	41	0.560975609756098	0.532709255236115	1	N.S.	none	chr1	5304843	5306857	18
25	5	5	6	6	11	0.454545454545455	1	1	N.S.	none	chr1	5399712	5400464	22
26	12	15	12	12	27	0.555555555555556	0.701108038425446	1	N.S.	none	chr1	5403977	5404867	21
27	4	4	3	3	7	0.571428571428571	1	1	N.S.	none	chr1	5571729	5572539	18
28	4	4	6	6	10	0.4	0.75390625	1	N.S.	none	chr1	5672114	5676223	25
29	7	7	7	7	14	0.5	1	1	N.S.	none	chr1	10368460	10368610	47
31	2	2	3	3	5	0.4	1	1	N.S.	none	chr1	13703028	13703778	18
32	4	6	0	0	6	1	0.03125	0.285130619684083	N.S.	none	chr1	14220748	14220898	21
34	5	5	4	4	9	0.555555555555556	1	1	N.S.	none	chr1	24958331	24959972	18
35	6	7	11	11	18	0.388888888888889	0.480682373046875	0.986818908182807	N.S.	none	chr1	25022680	25025827	23
37	3	3	5	5	8	0.375	0.7265625	1	N.S.	none	chr1	30738964	30739115	57
38	3	3	1	1	4	0.75	0.625	1	N.S.	none	chr1	30757686	30758470	20
39	4	4	4	4	8	0.5	1	1	N.S.	none	chr1	34627686	34627836	32
40	6	6	3	3	9	0.666666666666667	0.5078125	0.986818908182807	N.S.	none	chr1	36994929	36995079	47
42	2	2	5	5	7	0.285714285714286	0.453125	0.973117748316187	N.S.	none	chr1	46869328	46870587	18
43	17	26	16	18	44	0.590909090909091	0.291215236545896	0.828634488180599	N.S.	none	chr1	46886581	46891970	23
44	6	6	19	20	26	0.230769230769231	0.0093553066253662	0.136277145511542	N.S.	none	chr1	46901206	46902094	21
45	9	13	8	8	21	0.619047619047619	0.383310317993164	0.91815366488741	N.S.	none	chr1	46912477	46914439	26
46	25	47	37	57	104	0.451923076923077	0.377583923298099	0.916462989472521	N.S.	none	chr1	46924884	46933070	22
47	8	13	26	37	50	0.26	0.00093622291085183	0.0257992113107103	*	mat	chr1	46937223	46942704	23
48	12	17	30	57	74	0.22972972972973	3.39716681699151e-06	0.00021878220464968	***	mat	chr1	46945153	46952325	26
50	9	9	6	7	16	0.5625	0.803619384765625	1	N.S.	none	chr1	46965255	46966597	19
51	17	24	10	15	39	0.615384615384615	0.199590866919608	0.732607133322533	N.S.	none	chr1	46970211	46973502	22
52	4	6	2	2	8	0.75	0.2890625	0.825380636819709	N.S.	none	chr1	46976637	46977733	21
53	8	9	9	10	19	0.473684210526316	1	1	N.S.	none	chr1	46985435	46987507	24
54	16	21	18	26	47	0.446808510638298	0.560064629580213	1	N.S.	none	chr1	47011134	47014435	22
55	1	2	3	4	6	0.333333333333333	0.6875	1	N.S.	none	chr1	47017944	47018677	18
56	10	11	10	10	21	0.523809523809524	1	1	N.S.	none	chr1	47044901	47046807	18
57	3	3	7	11	14	0.214285714285714	0.057373046875	0.407978867039536	N.S.	none	chr1	47063287	47064895	21
58	9	9	8	9	18	0.5	1	1	N.S.	none	chr1	47141289	47142389	23
59	1	2	3	4	6	0.333333333333333	0.6875	1	N.S.	none	chr1	47146586	47147244	20
60	9	10	7	7	17	0.588235294117647	0.629058837890625	1	N.S.	none	chr1	47627984	47629208	26
61	8	10	6	9	19	0.526315789473684	1	1	N.S.	none	chr1	47952903	47954594	19
63	3	3	2	2	5	0.6	1	1	N.S.	none	chr1	48018401	48019775	18
64	7	8	11	14	22	0.363636363636364	0.28627872467041	0.825380636819709	N.S.	none	chr1	48022396	48025423	20
