bin_pos	Sum_Signal	repeat_percentage
chr1-110000-115000	9	0.2506
chr1-115000-120000	2	0.048
chr1-800000-805000	3	0.0528
chr1-2415000-2420000	3	0.0182
chr1-3670000-3675000	2	0.019
chr1-3675000-3680000	2	0.1188
chr1-4200000-4205000	15	0.353
chr1-4205000-4210000	10	0.3004
chr1-4210000-4215000	20	0.5676
chr1-4215000-4220000	10	0.378
chr1-4235000-4240000	29	0.753
chr1-4240000-4245000	56	1
chr1-4245000-4250000	22	0.913
chr1-4250000-4255000	15	0.4718
chr1-4265000-4270000	7	0.1502
chr1-4275000-4280000	8	0.1554
chr1-4280000-4285000	1	0.0176
chr1-4290000-4295000	9	0.1232
chr1-4295000-4300000	9	0.4008
chr1-4310000-4315000	9	0.2804
chr1-4315000-4320000	24	0.7244
chr1-4320000-4325000	3	0.0746
chr1-4385000-4390000	4	0.1702
chr1-4395000-4400000	3	0.0102
chr1-4405000-4410000	9	0.1972
chr1-4425000-4430000	2	0.0504
chr1-4505000-4510000	2	0.055
chr1-4530000-4535000	7	0.1154
chr1-4535000-4540000	1	0.044
chr1-4560000-4565000	10	0.379
chr1-4565000-4570000	10	0.184
chr1-4570000-4575000	15	0.4462
chr1-4575000-4580000	11	0.6308
chr1-4580000-4585000	9	0.3142
chr1-4600000-4605000	1	0.023
chr1-4665000-4670000	5	0.1182
chr1-4745000-4750000	6	0.3518
chr1-4750000-4755000	7	0.282
chr1-4760000-4765000	14	0.4536
chr1-4795000-4800000	2	0.1338
chr1-4810000-4815000	6	0.3304
chr1-4815000-4820000	4	0.216
chr1-4835000-4840000	9	0.1368
chr1-4845000-4850000	2	0.031
chr1-4850000-4855000	14	0.2464
chr1-4855000-4860000	10	0.3158
chr1-4860000-4865000	23	0.664
chr1-4890000-4895000	14	0.306
chr1-4895000-4900000	16	0.466
chr1-4900000-4905000	40	1
chr1-4905000-4910000	6	0.0852
chr1-4910000-4915000	6	0.1304
chr1-4915000-4920000	25	0.5742
chr1-4920000-4925000	19	0.5844
chr1-4925000-4930000	14	0.2032
chr1-4935000-4940000	4	0.034
chr1-4960000-4965000	4	0.0884
chr1-4980000-4985000	4	0.1596
chr1-4985000-4990000	5	0.1628
chr1-4990000-4995000	10	0.1834
chr1-4995000-5000000	14	0.407
chr1-5000000-5005000	19	0.4082
chr1-5005000-5010000	16	0.3082
chr1-5010000-5015000	3	0.118
chr1-5015000-5020000	1	0.1552
chr1-5020000-5025000	2	0.0274
chr1-5025000-5030000	6	0.1604
chr1-5035000-5040000	6	0.0406
chr1-5040000-5045000	9	0.3506
chr1-5045000-5050000	26	0.9766
chr1-5050000-5055000	32	0.9958
chr1-5055000-5060000	18	0.521
chr1-5060000-5065000	35	0.9604
chr1-5065000-5070000	20	0.3788
chr1-5070000-5075000	11	0.242
chr1-5075000-5080000	4	0.0678
chr1-5080000-5085000	27	0.574
chr1-5085000-5090000	21	0.4702
chr1-5095000-5100000	5	0.1466
chr1-5100000-5105000	27	0.8048
chr1-5105000-5110000	8	0.0914
chr1-5115000-5120000	16	0.275
chr1-5120000-5125000	26	0.7088
chr1-5160000-5165000	5	0.0642
chr1-5165000-5170000	8	0.1808
chr1-5170000-5175000	1	0.1186
chr1-5175000-5180000	8	0.1334
chr1-5180000-5185000	46	1
chr1-5185000-5190000	1	0.0826
chr1-5190000-5195000	3	0.0572
chr1-5195000-5200000	3	0.0858
chr1-5200000-5205000	16	0.3254
chr1-5205000-5210000	15	0.2516
chr1-5235000-5240000	8	0.186
chr1-5245000-5250000	8	0.2666
chr1-5275000-5280000	6	0.1876
chr1-5280000-5285000	10	0.1746
