peak_id	chromosome	start	end	annotated_element
1	chr1	1679417	1679567	unrepeat
2	chr1	3673802	3673951	unrepeat
3	chr1	3676128	3676296	unrepeat
4	chr1	4207590	4210381	LINE
5	chr1	4212727	4213772	LTR
6	chr1	4235757	4240659	LINE
7	chr1	4251322	4252129	SINE
8	chr1	4317528	4318487	LTR
9	chr1	4561636	4563569	LTR
10	chr1	4664468	4666453	LINE
11	chr1	5000851	5005555	LINE
12	chr1	5037739	5038041	LTR
13	chr1	5052120	5053136	LINE
14	chr1	5062971	5067563	LINE
15	chr1	5080203	5082838	LINE
16	chr1	5118760	5120306	LTR
17	chr1	5167648	5168439	unrepeat
18	chr1	5177435	5179574	SINE
19	chr1	5186802	5187667	OthersRepeat
20	chr1	5202086	5203566	LINE
21	chr1	5206110	5208123	LINE
22	chr1	5238519	5240565	LINE
23	chr1	5300920	5301105	unrepeat
24	chr1	5304844	5306857	LTR
25	chr1	5399713	5400464	LINE
26	chr1	5403978	5404867	unrepeat
27	chr1	5571730	5572539	LTR
28	chr1	5672115	5676223	LINE
29	chr1	10368461	10368610	unrepeat
30	chr1	12057117	12058805	LTR
31	chr1	13703029	13703778	OthersRepeat
32	chr1	14220749	14220898	unrepeat
33	chr1	23636679	23636828	unrepeat
34	chr1	24958332	24959972	SINE
35	chr1	25022681	25025827	LINE
36	chr1	26794806	26794955	unrepeat
37	chr1	30738965	30739115	unrepeat
38	chr1	30757687	30758470	SINE
39	chr1	34627687	34627836	LINE
40	chr1	36994930	36995079	unrepeat
41	chr1	46801205	46805353	LINE
42	chr1	46869329	46870587	LINE
43	chr1	46886582	46891970	LINE
44	chr1	46901207	46902094	unrepeat
45	chr1	46912478	46914439	LINE
46	chr1	46924885	46933070	LINE
47	chr1	46937224	46942704	LINE
48	chr1	46945154	46952325	LINE
49	chr1	46961983	46962317	SINE
50	chr1	46965256	46966597	LINE
51	chr1	46970212	46973502	LINE
52	chr1	46976638	46977733	LINE
53	chr1	46985436	46987507	LINE
54	chr1	47011135	47014435	LTR
55	chr1	47017945	47018677	LTR
56	chr1	47044902	47046807	LTR
57	chr1	47063288	47064895	LINE
58	chr1	47141290	47142389	unrepeat
59	chr1	47146587	47147244	unrepeat
60	chr1	47627985	47629208	LINE
61	chr1	47952904	47954594	LINE
62	chr1	47971249	47973552	LINE
63	chr1	48018402	48019775	SINE
64	chr1	48022397	48025423	LINE
65	chr1	48036580	48036729	LINE
66	chr1	48070263	48070653	unrepeat
67	chr1	48074141	48074752	unrepeat
68	chr1	48096603	48096888	SINE
69	chr1	48114665	48115446	LINE
70	chr1	48118393	48120074	LINE
71	chr1	48122863	48123614	LINE
72	chr1	48127312	48127479	LINE
73	chr1	48136376	48138113	LINE
74	chr1	48150114	48152649	LINE
75	chr1	48161673	48164032	LINE
76	chr1	48167682	48170405	LINE
77	chr1	48186851	48187862	LTR
78	chr1	48212161	48212311	LTR
79	chr1	48215423	48216265	LINE
80	chr1	48253478	48255753	LINE
81	chr1	48257913	48259791	LINE
82	chr1	48263558	48275769	LINE
83	chr1	48279662	48284907	LINE
84	chr1	48287166	48290110	LINE
85	chr1	48292224	48299887	LINE
86	chr1	48302016	48317691	LINE
87	chr1	48320070	48324424	LINE
88	chr1	48327051	48342036	LINE
89	chr1	48350814	48364220	LINE
90	chr1	48366462	48377990	LINE
91	chr1	48387170	48388172	LINE
92	chr1	48390386	48394019	LINE
93	chr1	48396219	48397807	LINE
94	chr1	48401729	48402866	LINE
95	chr1	48405744	48407412	LINE
96	chr1	48409460	48415318	LINE
97	chr1	48422625	48427340	LINE
98	chr1	48432776	48433699	unrepeat
99	chr1	48440632	48440953	LTR
100	chr1	48445687	48449408	LINE
101	chr1	48455014	48455163	unrepeat
102	chr1	48458730	48460155	LINE
103	chr1	48463060	48463209	LTR
104	chr1	48545747	48546856	SINE
105	chr1	48560615	48561743	LINE
106	chr1	48565393	48566533	LINE
107	chr1	48796805	48797646	LINE
108	chr1	48811731	48818492	LINE
109	chr1	48823893	48827456	LINE
110	chr1	48829879	48834329	LINE
111	chr1	48852460	48853810	LTR
112	chr1	48858811	48860035	LINE
113	chr1	48862162	48863100	LINE
114	chr1	48869000	48876047	LINE
115	chr1	48878341	48883369	LINE
116	chr1	48885448	48887124	SINE
117	chr1	48901929	48904626	LINE
118	chr1	48915229	48915378	LINE
119	chr1	48918703	48920580	SINE
120	chr1	48923605	48926016	LINE
121	chr1	48936007	48936593	SINE
122	chr1	48939966	48951787	LINE
123	chr1	48953915	48965841	LINE
