peak_id	chromosome	start	end	annotated_element
1	GL000008.2	411	3540	unrepeat
2	GL000205.2	12119	12424	unrepeat
3	GL000205.2	17348	17853	unrepeat
4	GL000205.2	18724	18976	unrepeat
5	GL000205.2	22957	23268	unrepeat
6	GL000205.2	33622	34050	unrepeat
7	GL000205.2	36163	36493	unrepeat
8	GL000205.2	42919	43156	unrepeat
9	GL000205.2	56216	57263	unrepeat
10	GL000205.2	61248	61596	unrepeat
11	GL000205.2	62785	63633	unrepeat
12	GL000205.2	67823	69028	unrepeat
13	GL000205.2	78378	78971	unrepeat
14	KI270411.1	1076	1763	unrepeat
15	KI270438.1	108652	112173	unrepeat
16	KI270467.1	3286	3543	unrepeat
17	chr1	3654281	3654600	SINE
18	chr1	3673655	3674250	SINE
19	chr1	4946494	4946738	Simple_repeat
20	chr1	5010852	5011307	unrepeat
21	chr1	5343307	5343686	SINE
22	chr1	9653410	9653736	unrepeat
23	chr1	12052245	12052450	LINE
24	chr1	12435347	12436304	LINE
25	chr1	13641920	13642205	unrepeat
26	chr1	13702988	13703647	OthersRepeat
27	chr1	14520915	14521183	unrepeat
28	chr1	15031180	15031414	unrepeat
29	chr1	18954146	18954469	unrepeat
30	chr1	19479698	19480460	SINE
31	chr1	21791659	21791925	LTR
32	chr1	22051929	22052165	SINE
33	chr1	23912591	23912830	unrepeat
34	chr1	24947535	24947891	unrepeat
35	chr1	25030224	25030829	SINE
36	chr1	27625082	27625388	Simple_repeat
37	chr1	27631639	27631943	unrepeat
38	chr1	27659516	27659791	SINE
39	chr1	27862846	27863186	unrepeat
40	chr1	27887398	27887624	unrepeat
41	chr1	28123043	28123240	SINE
42	chr1	28505844	28506580	SINE
43	chr1	30748386	30748817	Simple_repeat
44	chr1	30755860	30757011	LINE
45	chr1	31461666	31462036	LTR
46	chr1	31477136	31478136	LINE
47	chr1	31483244	31483597	LTR
48	chr1	31549058	31549387	unrepeat
49	chr1	33497798	33498238	LINE
50	chr1	40039281	40040569	SINE
51	chr1	40450618	40450825	unrepeat
52	chr1	41752257	41752458	unrepeat
53	chr1	43650037	43650247	unrepeat
54	chr1	45583338	45583695	unrepeat
55	chr1	46303576	46303791	unrepeat
56	chr1	48867611	48867865	unrepeat
57	chr1	48878284	48878568	SINE
58	chr1	48992437	48992816	LINE
59	chr1	49185107	49185368	LINE
60	chr1	49577457	49579732	LINE
61	chr1	49610335	49610597	LINE
62	chr1	49632607	49632881	unrepeat
63	chr1	49730369	49730622	LTR
64	chr1	49843118	49843357	SINE
65	chr1	50004903	50005156	LINE
66	chr1	50348403	50349004	LINE
67	chr1	54885719	54885969	LINE
68	chr1	56106800	56107576	LINE
69	chr1	56135007	56135243	unrepeat
70	chr1	56224059	56224727	LINE
71	chr1	56330367	56331415	LINE
72	chr1	56332298	56332518	unrepeat
73	chr1	56433569	56433926	unrepeat
74	chr1	56492261	56492605	unrepeat
75	chr1	56531416	56531817	SINE
76	chr1	56566066	56566404	SINE
77	chr1	57125159	57125366	LINE
78	chr1	57138933	57139336	unrepeat
79	chr1	57222351	57222679	unrepeat
80	chr1	57708100	57708417	LINE
81	chr1	58075414	58075711	LTR
82	chr1	58103359	58104204	OthersRepeat
83	chr1	58108161	58109710	LINE
84	chr1	58571845	58572694	SINE
85	chr1	58573970	58574410	unrepeat
86	chr1	58577589	58577869	SINE
87	chr1	58784062	58784277	unrepeat
88	chr1	58813317	58813638	SINE
89	chr1	58815609	58815992	SINE
90	chr1	58903253	58903793	LINE
91	chr1	59005716	59006033	unrepeat
92	chr1	59013029	59013489	unrepeat
93	chr1	59015648	59016694	LINE
94	chr1	59047124	59047443	SINE
95	chr1	59149067	59149267	SINE
96	chr1	59363454	59363653	SINE
