peak_id	chromosome	start	end	annotated_element
1	chr1	100004285	100004480	SINE
2	chr1	100005711	100006199	LINE
3	chr1	100036715	100037094	LTR
4	chr1	100261375	100261591	LTR
5	chr1	100264172	100264623	LTR
6	chr1	100264884	100265285	SINE
7	chr1	100305826	100306108	unrepeat
8	chr1	100408155	100408453	LINE
9	chr1	100408564	100408917	LINE
10	chr1	100552179	100552331	LINE
11	chr1	100819957	100820124	LINE
12	chr1	100889009	100889384	LTR
13	chr1	100889512	100890043	LTR
14	chr1	100890096	100890379	LTR
15	chr1	100891370	100891530	LTR
16	chr1	101037434	101037574	unrepeat
17	chr1	101040139	101041385	LTR
18	chr1	101041436	101041799	LTR
19	chr1	101621862	101622105	OthersRepeat
20	chr1	101623082	101623217	unrepeat
21	chr1	101630360	101630601	unrepeat
22	chr1	101722722	101722892	unrepeat
23	chr1	101753627	101753883	unrepeat
24	chr1	101853174	101853327	LINE
25	chr1	102077172	102077306	unrepeat
26	chr1	102153999	102154260	unrepeat
27	chr1	102201488	102201629	LTR
28	chr1	102282220	102282434	unrepeat
29	chr1	102360868	102361102	LTR
30	chr1	102484551	102484777	LTR
31	chr1	102875045	102875204	LTR
32	chr1	102881547	102881703	unrepeat
33	chr1	102891731	102891920	SINE
34	chr1	102901926	102902228	unrepeat
35	chr1	102912926	102913146	unrepeat
36	chr1	102979014	102979400	SINE
37	chr1	103117029	103117343	unrepeat
38	chr1	103306490	103306719	LINE
39	chr1	103315685	103315818	unrepeat
40	chr1	103320333	103320461	Simple_repeat
41	chr1	103415391	103415522	unrepeat
42	chr1	103428033	103428310	LTR
43	chr1	103472439	103472647	OthersRepeat
44	chr1	103802766	103802935	LINE
45	chr1	103928533	103928702	unrepeat
46	chr1	103976422	103976630	unrepeat
47	chr1	103994204	103994372	unrepeat
48	chr1	104046754	104046917	LINE
49	chr1	104048155	104048454	LINE
50	chr1	104370251	104370487	unrepeat
51	chr1	104457603	104457754	LTR
52	chr1	104476519	104476716	LINE
53	chr1	104552103	104552508	SINE
54	chr1	104555653	104555811	LTR
55	chr1	104637603	104637847	SINE
56	chr1	104794335	104794523	unrepeat
57	chr1	10486061	10486316	LINE
58	chr1	104975410	104975585	unrepeat
59	chr1	105158120	105158408	unrepeat
60	chr1	105171605	105171820	unrepeat
61	chr1	105204435	105204577	LINE
62	chr1	105247085	105247211	LINE
63	chr1	105266052	105266175	unrepeat
64	chr1	105284224	105284354	LTR
65	chr1	105359611	105359766	unrepeat
66	chr1	105364677	105364799	unrepeat
67	chr1	105559652	105559825	LINE
68	chr1	105793841	105794071	unrepeat
69	chr1	105884941	105885062	LINE
70	chr1	106033170	106033405	LTR
71	chr1	106174772	106175203	LINE
72	chr1	106181490	106181659	LINE
73	chr1	106393682	106393864	LTR
74	chr1	106421198	106421435	LINE
75	chr1	106467186	106467589	LINE
76	chr1	10661585	10661908	Simple_repeat
77	chr1	106659106	106659343	LINE
78	chr1	106689472	106689628	unrepeat
79	chr1	106690039	106690235	LINE
80	chr1	106691488	106691671	LINE
81	chr1	106818316	106818436	unrepeat
82	chr1	106837847	106838132	LINE
83	chr1	106929668	106929921	LINE
84	chr1	107207916	107208093	unrepeat
85	chr1	107212726	107212888	SINE
86	chr1	107283708	107284069	unrepeat
87	chr1	107296215	107296400	unrepeat
88	chr1	107502537	107502681	unrepeat
89	chr1	10754162	10754637	unrepeat
90	chr1	108172216	108172467	unrepeat
91	chr1	108173071	108173466	LTR
92	chr1	108173870	108174220	LTR
93	chr1	108174318	108175352	LTR
94	chr1	108175555	108175696	SINE
95	chr1	108188092	108188361	LINE
96	chr1	108190079	108190328	LTR
97	chr1	108190623	108191019	unrepeat
98	chr1	108191350	108191793	unrepeat
99	chr1	108192282	108192619	unrepeat
100	chr1	108364301	108364504	unrepeat
101	chr1	108365586	108365790	LINE
102	chr1	108524259	108524547	LINE
103	chr1	108524669	108525087	LTR
104	chr1	108534336	108534735	unrepeat
105	chr1	108783796	108784242	LINE
106	chr1	108784342	108784691	LTR
107	chr1	108784835	108785133	LTR
108	chr1	108785292	108785937	LTR
109	chr1	108786019	108786383	LTR
110	chr1	108786462	108786924	LINE
111	chr1	108791723	108791956	LINE
112	chr1	108792618	108792995	LINE
113	chr1	109218552	109218833	unrepeat
114	chr1	10928532	10929228	LTR
115	chr1	109330862	109331395	LINE
116	chr1	109331437	109331767	LINE
117	chr1	109332209	109332576	SINE
118	chr1	109332635	109332876	LINE
119	chr1	1093663	1093825	LINE
120	chr1	109384682	109384860	unrepeat
121	chr1	109434317	109434552	LTR
122	chr1	10953570	10954007	SINE
123	chr1	109703572	109703981	LTR
124	chr1	109704020	109704338	LTR
125	chr1	109708084	109708347	LTR
126	chr1	109709140	109709355	LTR
127	chr1	109725860	109726295	LTR
128	chr1	109726515	109726685	LTR
129	chr1	109726742	109727193	LTR
130	chr1	109748808	109749407	SINE
131	chr1	109815942	109816465	unrepeat
132	chr1	109836842	109836982	LTR
133	chr1	109837813	109838162	LTR
134	chr1	109838854	109839194	LTR
135	chr1	109926843	109927158	Simple_repeat
136	chr1	109937510	109937951	LINE
137	chr1	109938453	109938840	SINE
138	chr1	109944895	109945270	LINE
139	chr1	109978666	109978998	LINE
140	chr1	110123794	110123969	LTR
141	chr1	1101513	1101740	LINE
142	chr1	110328066	110328508	LTR
143	chr1	110330250	110330471	LTR
144	chr1	1105981	1106241	LINE
145	chr1	1106364	1106811	unrepeat
146	chr1	1108003	1108181	unrepeat
147	chr1	110912856	110913139	LINE
148	chr1	110913983	110914171	LINE
149	chr1	110964749	110964925	LINE
150	chr1	111002767	111002965	LINE
151	chr1	111061569	111061765	LINE
152	chr1	111101401	111101925	LINE
153	chr1	1111719	1112937	LTR
154	chr1	1113210	1113899	LTR
155	chr1	1114450	1114811	unrepeat
156	chr1	1114913	1115132	unrepeat
157	chr1	111599987	111600931	LTR
158	chr1	111601019	111601246	unrepeat
159	chr1	111675699	111676145	LTR
160	chr1	111677102	111677384	LINE
161	chr1	111677471	111677840	LTR
162	chr1	111678397	111678798	OthersRepeat
163	chr1	111679076	111679385	LINE
164	chr1	111681676	111682038	LINE
165	chr1	1123513	1124010	unrepeat
166	chr1	1124133	1124563	unrepeat
167	chr1	112787509	112787685	LTR
168	chr1	112893192	112893435	unrepeat
169	chr1	112893485	112893953	LTR
170	chr1	112895577	112895827	LTR
171	chr1	113213067	113213342	unrepeat
172	chr1	113213390	113213759	LTR
173	chr1	113214833	113215029	LTR
174	chr1	113216419	113216594	unrepeat
175	chr1	113479132	113479510	unrepeat
176	chr1	113511506	113511740	unrepeat
177	chr1	113567283	113567801	LINE
178	chr1	113626360	113626622	LINE
179	chr1	113640652	113640818	LINE
180	chr1	11365720	11365916	unrepeat
181	chr1	113693538	113693703	LINE
182	chr1	113694854	113695579	LINE
183	chr1	113718827	113719157	unrepeat
184	chr1	113719467	113719712	LTR
185	chr1	113719920	113720178	LTR
186	chr1	113720554	113721103	LTR
187	chr1	113721295	113721542	LINE
188	chr1	114005428	114005807	LINE
189	chr1	114006635	114006994	LTR
190	chr1	114007254	114007453	unrepeat
191	chr1	114061372	114061598	LTR
192	chr1	114062591	114062730	unrepeat
193	chr1	114362823	114363170	unrepeat
194	chr1	114363244	114363381	LTR
195	chr1	114363634	114364484	LTR
196	chr1	114373554	114373895	LTR
197	chr1	114374352	114374641	LTR
198	chr1	114378570	114379208	LTR
199	chr1	114383458	114383702	LINE
200	chr1	114384308	114384692	SINE
201	chr1	114458277	114458770	LTR
202	chr1	114459084	114459571	LTR
203	chr1	114459905	114460266	unrepeat
204	chr1	114460656	114460824	LTR
205	chr1	114582469	114582715	unrepeat
206	chr1	114604041	114604310	unrepeat
207	chr1	114758663	114759255	LINE
208	chr1	115635788	115635908	LINE
209	chr1	116145011	116145182	LINE
210	chr1	116563177	116563488	LTR
211	chr1	116563592	116564017	LTR
212	chr1	116564571	116565182	SINE
213	chr1	116668315	116668922	LINE
214	chr1	116742970	116743323	unrepeat
215	chr1	116743370	116744399	LTR
216	chr1	116746542	116746753	LTR
217	chr1	116747968	116749667	LTR
218	chr1	116812679	116813186	LINE
219	chr1	116827960	116828444	LINE
220	chr1	116836127	116836441	unrepeat
221	chr1	116866088	116866251	LTR
222	chr1	116866492	116866659	LTR
223	chr1	116899266	116899502	LTR
224	chr1	116974287	116974642	LINE
225	chr1	117107734	117107902	LINE
226	chr1	117165948	117166204	unrepeat
227	chr1	117372977	117373122	OthersRepeat
228	chr1	117376271	117376635	LTR
229	chr1	117403109	117403601	LTR
230	chr1	117424234	117424703	unrepeat
231	chr1	117425663	117426024	LINE
232	chr1	117427847	117428097	LINE
233	chr1	117449787	117450018	OthersRepeat
234	chr1	117559208	117559745	LTR
235	chr1	117559821	117560082	LTR
236	chr1	1175602	1175736	SINE
237	chr1	11756905	11757194	unrepeat
238	chr1	117706232	117708251	LINE
239	chr1	117715524	117715725	LINE
240	chr1	117718865	117719242	LINE
241	chr1	117770127	117770290	LINE
242	chr1	117770831	117771240	LINE
243	chr1	117771462	117772166	LINE
244	chr1	117821555	117822117	LTR
245	chr1	118541778	118541903	LINE
246	chr1	11881798	11882147	LTR
247	chr1	119199065	119199570	LINE
248	chr1	1194560	1195179	LINE
249	chr1	11948171	11948525	unrepeat
250	chr1	11948747	11949209	LINE
251	chr1	119602002	119602150	OthersRepeat
252	chr1	119704342	119704542	unrepeat
253	chr1	119735983	119736596	LINE
254	chr1	119933290	119933504	unrepeat
255	chr1	120176883	120177169	LINE
256	chr1	12057903	12058237	LTR
257	chr1	121400907	121401037	OthersRepeat
258	chr1	12214586	12214740	LINE
259	chr1	12215248	12217188	LTR
260	chr1	12217451	12218165	LINE
261	chr1	12222137	12222935	LTR
262	chr1	12223321	12223574	unrepeat
263	chr1	1232872	1233496	unrepeat
264	chr1	1233666	1233928	unrepeat
265	chr1	12386585	12387483	LINE
266	chr1	12387683	12388091	LINE
267	chr1	12409803	12411182	LINE
268	chr1	12437980	12438180	unrepeat
269	chr1	12438223	12439000	LTR
270	chr1	12473894	12474306	unrepeat
271	chr1	125082265	125082428	unrepeat
272	chr1	12536226	12536854	LINE
273	chr1	12561665	12561843	unrepeat
274	chr1	12561887	12562222	LTR
