bin_pos	Sum_Signal	repeat_percentage
chr1-15000-20000	2	0.0348
chr1-110000-115000	3	0.0998
chr1-130000-135000	5	0.0824
chr1-180000-185000	4	0.0548
chr1-185000-190000	7	0.0784
chr1-190000-195000	7	0.1266
chr1-260000-265000	8	0.1254
chr1-265000-270000	40	0.544
chr1-270000-275000	5	0.0606
chr1-505000-510000	17	0.3158
chr1-590000-595000	26	0.4962
chr1-595000-600000	26	0.482
chr1-600000-605000	7	0.1324
chr1-615000-620000	30	0.4888
chr1-620000-625000	19	0.3386
chr1-625000-630000	33	0.368
chr1-630000-635000	2	0.0176
chr1-635000-640000	29	0.4684
chr1-640000-645000	5	0.077
chr1-645000-650000	6	0.2044
chr1-660000-665000	11	0.2988
chr1-665000-670000	92	1
chr1-670000-675000	17	0.18
chr1-675000-680000	27	0.8178
chr1-780000-785000	38	0.484
chr1-785000-790000	79	0.6028
chr1-790000-795000	24	0.4384
chr1-795000-800000	24	0.6676
chr1-800000-805000	10	0.2172
chr1-860000-865000	10	0.114
chr1-1090000-1095000	8	0.147
chr1-1095000-1100000	59	0.9872
chr1-1100000-1105000	63	0.8414
chr1-1105000-1110000	57	0.586
chr1-1110000-1115000	55	0.629
chr1-1115000-1120000	1	0.0066
chr1-1150000-1155000	7	0.0932
chr1-1190000-1195000	3	0.0586
chr1-1195000-1200000	12	0.2742
chr1-1410000-1415000	33	0.6108
chr1-1415000-1420000	23	0.501
chr1-1490000-1495000	3	0.133
chr1-1525000-1530000	3	0.0614
chr1-1560000-1565000	5	0.1246
chr1-1565000-1570000	2	0.0598
chr1-1765000-1770000	21	0.3454
chr1-1875000-1880000	10	0.0952
chr1-1930000-1935000	2	0.0196
chr1-1935000-1940000	25	0.3106
chr1-1945000-1950000	17	0.2174
chr1-1950000-1955000	37	0.609
chr1-1955000-1960000	5	0.0966
chr1-1960000-1965000	8	0.1554
chr1-1975000-1980000	42	0.5424
chr1-2050000-2055000	4	0.0834
chr1-2055000-2060000	24	0.3766
chr1-2060000-2065000	46	0.5978
chr1-2065000-2070000	29	0.5338
chr1-2070000-2075000	13	0.1704
chr1-2075000-2080000	34	0.45
chr1-2080000-2085000	23	0.4408
chr1-2085000-2090000	17	0.2936
chr1-2090000-2095000	2	0.1854
chr1-2095000-2100000	7	0.1748
chr1-2100000-2105000	17	0.2836
chr1-2105000-2110000	7	0.105
chr1-2110000-2115000	9	0.152
chr1-2115000-2120000	61	0.876
chr1-2120000-2125000	20	0.3146
chr1-2125000-2130000	4	0.1014
chr1-2130000-2135000	10	0.1424
chr1-2150000-2155000	10	0.3272
chr1-2155000-2160000	19	0.3314
chr1-2160000-2165000	20	0.3992
chr1-2165000-2170000	10	0.193
chr1-2250000-2255000	8	0.1348
chr1-2255000-2260000	4	0.0328
chr1-2265000-2270000	12	0.2708
chr1-2275000-2280000	21	0.2366
chr1-2280000-2285000	12	0.1208
chr1-2360000-2365000	20	0.3058
chr1-2365000-2370000	32	0.488
chr1-2420000-2425000	30	0.3514
chr1-2425000-2430000	20	0.225
chr1-2430000-2435000	3	0.0588
chr1-2575000-2580000	2	0.0066
chr1-2595000-2600000	5	0.2336
chr1-2600000-2605000	7	0.0534
chr1-2610000-2615000	28	0.3476
chr1-2615000-2620000	90	0.849
chr1-2620000-2625000	63	0.873
chr1-2625000-2630000	18	0.2576
chr1-2630000-2635000	20	0.173
chr1-2635000-2640000	63	0.45
chr1-2640000-2645000	1	0.0076
chr1-2645000-2650000	85	0.5138
chr1-2775000-2780000	18	0.264
chr1-2780000-2785000	34	0.7594
chr1-2785000-2790000	14	0.1502
chr1-2790000-2795000	52	0.688
chr1-2795000-2800000	30	0.4478
chr1-2805000-2810000	34	0.1568
chr1-2810000-2815000	39	0.4302
chr1-2815000-2820000	58	0.4798
chr1-2820000-2825000	23	0.2874
chr1-2825000-2830000	13	0.2266
chr1-2830000-2835000	15	0.1718
chr1-2835000-2840000	42	0.6518
chr1-2840000-2845000	73	0.9692
chr1-2845000-2850000	34	0.2348
chr1-2850000-2855000	7	0.1176
chr1-2855000-2860000	17	0.26
chr1-2860000-2865000	10	0.062
chr1-2865000-2870000	12	0.0944
